bonsut2_0_code,coicop2018_code
C_CHAR,04.5.4
C_CHEM,05.6.1
C_Chocs,01.1.8.5
C_Coco_but,01.1.8.5
C_Coco_pow,01.1.8.5
C_Coff_ext,01.2.2
C_Coff_sub,01.2.2
C_Honel,01.1.8
C_Margd,01.1.5
C_Margt,01.1.5
C_Meat_buff,01.1.2
C_Meat_goat,01.1.2
C_Meat_shee,01.1.2
C_Oatsd,01.1.1.1
C_Offa_chick,01.1.2
C_Offa_turkey,01.1.2
C_Offae_cow,01.1.2
C_Offae_shee,01.1.2
C_Offas_buff,01.1.2
C_Offas_goat,01.1.2
C_Oil_olivres,01.1.5
C_Pork_ham,01.1.2
C_Pork_ons,01.1.2
C_Rice_mill,01.1.1
C_Sugarn,01.1.8
C_Tallw,01.1.5
M_electricity,04.5.1
M_heat_HOUS,04.5.5
C_wAlum,04.4
C_wCons,04.4
C_wDisc_eq,04.4
M_wFood,01.1
M_wHazar,04.4.2.0
C_wMix_nonferr,04.4
C_wPape,04.4
C_wPlas,04.4
M_wText,03.1.4.2
C_wUnsort,04.4
C_wWood,04.4
C_Casen,01.1.4.9
C_MOTO,07.1
C_sugar,01.1.8.9
C_wCopp,04.4
C_wGlas,04.4
C_wLead,04.4
C_wPrec,04.4
C_wSteel,04.4
C_wpAlumi,04.4
C_wpGlass,04.4
C_wpPaper,04.4
C_wpPlast,04.4
C_wpSteel,04.4
M_BROAD_NEWS|M_PIC_VID_TV,08.3.9
A_ACCOM,11.2.0
C_Nat_Elec,04.5.1
A_Nat_Elec,04.5.1
C_DOIL,07.1.1
EF_DOIL,07.1.1
EF_MGSL,07.1.1
C_GASE,07.2.2
EF_GASE,07.2.2
A_Beef_boneless,01.1.2.2
A_TLAND_ALL,07.1.1
A_TAIR,07.3.3
M_fuel_TAIR,07.3.3 
M_fuel_TLND,07.3.2
M_Meat_beef,01.1.2
EF_KJET,07.3.2
A_pCatmeat,01.1.2.2
C_ELMA,04
M_OT_PROF_SCI|M_VET,09.4.5.0
A_POWN,04
F_HOUS,04
A_POWC,04
A_POWG,04
A_POWP,04
A_Cowmilk,01.1.4.1.1
A_POWB,04
A_Sugar,01.1.8
A_Pasta,01.1.1.5
A_Prmilk_cow,01.1.4
A_Beer,02.1.3
A_POWO,04
A_POWW,04
A_Oilsoy,01.1.5.1
A_POWZ,04
A_POWH,04
A_CHP,04
A_pPigmeat,01.1.2.1
A_Oilrape,01.1.5.1
A_Maizea_starch,01.1.1.1
A_Maize_flour,01.1.1.2.6
A_Oiloliv,01.1.5.1
A_POWS,04
A_pChicken_meat,01.1.2.1
A_FORE_comb,04
A_Whflour,01.1.1.2.1
A_HCHEM,04
A_pDuck_meat,01.1.2.1
A_Malt,01.1.1.9
A_Cocader,01.1.8.5
A_Sugas,01.1.8
A_pTurkey_meat,01.1.2.1
A_Mixed_flour,01.1.1.2
A_Poleggs,01.1.4.8
A_POWM,04
A_Roscoff,01.2.2.0
A_Seedcot,05.2.1.9
A_meat_rubbit,01.1.2.1
A_Oilpalm,01.1.5.1
A_Vegfats,01.1.5.2
A_Pork_proc,01.1.2.4
A_BUILD,04
A_Potato_starch,01.1.7.5
A_Barley_flour,01.1.1.2.4
A_BUILD_LAND_serv,04
A_OFFICE_ADM,04
A_Pulses_flour,01.1.7
A_Sorghum_flour,01.1.1.2.3
A_MANA,13
A_Fruits_flour,01.1.6.9
A_Rye_flour,01.1.1.2
A_CIV_ENG,04
A_Rice_starch,01.1.1.1
A_WOOL,05.2.1
A_Hempd,01.1.9.4
A_MIN_SUPP,13
A_DV_RECY,04
A_Rice_flour,01.1.1.2
A_Frozvege,01.1.7
A_MGWG,04
A_OT_PROF_SCI,13
A_Oats_roll,01.1.1.1
A_meat_game,01.1.2
A_meat_goose,01.1.2
A_meat_horse,01.1.2.1
A_Tap_Potatoes,01.1.7.9
A_Mustard_flour,01.1.9.3
A_Potato_flour,01.1.7.5
A_INFO,13
A_REMS,13
A_liver_prep,01.1.2.1
A_Millet_flour,01.1.1.2.5
A_PIC_VID_TV,13
A_Frozfrui,01.1.6.6
A_Tap_Cassava,01.1.7.9
A_Cassava_starch,01.1.7.5
A_TE_INCI,05.2.1
A_Cassava_flour,01.1.7.5
A_Buckw_flour,01.1.1.2
A_PA_OTHE,04
A_meat_mule,01.1.2.1
A_meat_asses,01.1.2.1
A_Prmilk_buff,01.1.4.1
A_Othdiar_buffaloes,01.1.5.2
A_Prmilk_sheep,01.1.4.1
A_Fonio_flour,01.1.1.2
M_fuel_Passenger,07.2.2
M_Whey_con,01.1.4.9
M_Oil_soyb,01.1.5.1.4
M_Offas_hors,01.1.2.4
M_Offae_pigs,01.1.2.4
M_Copra,01.1.6.7
M_COTA,04.5.3.0
C_Icee,01.1.8.6
A_oFru_cit,01.1.6.2
A_TE_RECY,05.2.2.0
A_BUILD|A_CIV_ENG,04
A_ACCOM|A_RESTAU,11
A_REAL_OTHER|A_REAL_OWNER,13.9.0
A_HEAL|A_RES_CARE|A_SOWO,13.3.0
A_FAUX|A_FINS|A_FINT,12.2.9 
A_Root_nes_flour,01.1.7.9
F_GOVE,15
M_Icee,01.1.8
